Lot,Trailer #,Carrier,Status,Issue,Note,Remediation
109,91923,CWAM,Pallet Container,Wrong Trailer Number,"""91934""",Checked In/Out
147,SWFZ170151,SWFT,Empty/No Seal,Trailer Not Found,,Checked In
212,319276,CWAM,Empty/No Seal,Trailer Not Found,,Checked In
350,320647,CWAM,Empty/No Seal,Trailer Not Found,,Checked In
418,317338,CWAM,Empty/No Seal,Wrong Trailer Number,"""317388""",Checked In/Out
616,CC30817,CWAM,Empty/No Seal,Trailer Not Found,,Checked In
676,CC30757,CWAM,Inbound,Trailer Not Found,Tin#32962156,------------------------
730,SWFZ242036,SWFT,Inbound,Wrong Trailer Number,"""SWFT242036""",Documented
1160,320047,CWAM,Empty/No Seal,Trailer Not Found,,Checked In
39,EGHU8012628,RDKA,Empty/No Seal,Trailer Not Found,,Checked In
